filename,fold,target,category,esc10,src_file,take
3-155583-A-14.wav,3,14,chirping_birds,False,155583,A
3-155577-A-14.wav,3,14,chirping_birds,False,155577,A
2-72547-D-14.wav,2,14,chirping_birds,False,72547,D
4-182795-A-14.wav,4,14,chirping_birds,False,182795,A
1-38560-A-14.wav,1,14,chirping_birds,False,38560,A
3-103051-C-19.wav,3,19,thunderstorm,False,103051,C
3-103050-A-19.wav,3,19,thunderstorm,False,103050,A
2-39945-C-19.wav,2,19,thunderstorm,False,39945,C
4-125072-A-19.wav,4,19,thunderstorm,False,125072,A
1-23222-B-19.wav,1,19,thunderstorm,False,23222,B
3-128512-A-47.wav,3,47,airplane,False,128512,A
3-115387-A-47.wav,3,47,airplane,False,115387,A
2-98866-A-47.wav,2,47,airplane,False,98866,A
4-161100-A-47.wav,4,47,airplane,False,161100,A
1-43807-B-47.wav,1,47,airplane,False,43807,B
3-142349-A-17.wav,3,17,pouring_water,False,142349,A
3-108451-A-17.wav,3,17,pouring_water,False,108451,A
2-126433-A-17.wav,2,17,pouring_water,False,126433,A
4-180453-A-17.wav,4,17,pouring_water,False,180453,A
1-51436-A-17.wav,1,17,pouring_water,False,51436,A
3-138212-A-45.wav,3,45,train,False,138212,A
3-135650-A-45.wav,3,45,train,False,135650,A
2-262579-A-45.wav,2,45,train,False,262579,A
4-165791-B-45.wav,4,45,train,False,165791,B
1-64473-A-45.wav,1,45,train,False,64473,A
3-164593-A-15.wav,3,15,water_drops,False,164593,A
3-156907-A-15.wav,3,15,water_drops,False,156907,A
2-68595-B-15.wav,2,15,water_drops,False,68595,B
4-188293-A-15.wav,4,15,water_drops,False,188293,A
1-23094-A-15.wav,1,15,water_drops,False,23094,A
3-134699-B-16.wav,3,16,wind,False,134699,B
3-117504-A-16.wav,3,16,wind,False,117504,A
2-205966-A-16.wav,2,16,wind,False,205966,A
4-144083-C-16.wav,4,16,wind,False,144083,C
1-51035-A-16.wav,1,16,wind,False,51035,A
3-155130-A-43.wav,3,43,car_horn,False,155130,A
3-145577-A-43.wav,3,43,car_horn,False,145577,A
2-54086-A-43.wav,2,43,car_horn,False,54086,A
4-175855-A-43.wav,4,43,car_horn,False,175855,A
1-254507-A-43.wav,1,43,car_horn,False,254507,A
3-145774-A-12.wav,3,12,crackling_fire,True,145774,A
3-104632-A-12.wav,3,12,crackling_fire,True,104632,A
2-65747-A-12.wav,2,12,crackling_fire,True,65747,A
4-170247-A-12.wav,4,12,crackling_fire,True,170247,A
1-17808-B-12.wav,1,12,crackling_fire,True,17808,B
3-142006-A-10.wav,3,10,rain,True,142006,A
3-132852-A-10.wav,3,10,rain,True,132852,A
2-87781-A-10.wav,2,10,rain,True,87781,A
4-163264-A-10.wav,4,10,rain,True,163264,A
1-50060-A-10.wav,1,10,rain,True,50060,A
3-141240-A-44.wav,3,44,engine,False,141240,A
3-115382-A-44.wav,3,44,engine,False,115382,A
2-78651-A-44.wav,2,44,engine,False,78651,A
4-186936-A-44.wav,4,44,engine,False,186936,A
1-50455-A-44.wav,1,44,engine,False,50455,A
3-203375-A-39.wav,3,39,glass_breaking,False,203375,A
3-203371-A-39.wav,3,39,glass_breaking,False,203371,A
2-250710-A-39.wav,2,39,glass_breaking,False,250710,A
4-204121-A-39.wav,4,39,glass_breaking,False,204121,A
1-85168-A-39.wav,1,39,glass_breaking,False,85168,A
3-112356-A-18.wav,3,18,toilet_flush,False,112356,A
3-100018-A-18.wav,3,18,toilet_flush,False,100018,A
2-85945-A-18.wav,2,18,toilet_flush,False,85945,A
4-126046-A-18.wav,4,18,toilet_flush,False,126046,A
1-51170-A-18.wav,1,18,toilet_flush,False,51170,A
3-155642-B-11.wav,3,11,sea_waves,True,155642,B
3-144827-A-11.wav,3,11,sea_waves,True,144827,A
2-155801-A-11.wav,2,11,sea_waves,True,155801,A
4-167063-C-11.wav,4,11,sea_waves,True,167063,C
1-43760-A-11.wav,1,11,sea_waves,True,43760,A
3-51909-A-42.wav,3,42,siren,False,51909,A
3-51376-A-42.wav,3,42,siren,False,51376,A
2-72688-A-42.wav,2,42,siren,False,72688,A
4-111671-B-42.wav,4,42,siren,False,111671,B
1-76831-B-42.wav,1,42,siren,False,76831,B
3-146033-A-13.wav,3,13,crickets,False,146033,A
3-129338-A-13.wav,3,13,crickets,False,129338,A
2-96033-A-13.wav,2,13,crickets,False,96033,A
4-172143-A-13.wav,4,13,crickets,False,172143,A
1-7456-A-13.wav,1,13,crickets,False,7456,A
